Rank,Country,Region,Total Imports (Millions of Barrels 2025),Share_Total,region_polygon,country_polygon,country_center,region_center
1,🇳🇱 Netherlands,Europe,419,0.107,"POLYGON ((-0.614132738094949 9.881677945571795, -0.2939743920725819 9.895804742351679, 0.0261839539497853 9.899966724944079, 0.3463422999721524 9.894176468445972, 0.6665006459945194 9.878416472289473, 0.9866589920168864 9.852638894669285, 1.306817338039254 9.81676482121274, 1.6269756840616205 9.770683041566235, 1.9471340300839879 9.71424828898253, 2.2672923761063553 9.647278876385299, 2.5874507221287217 9.569553636142075, 2.907609068151089 9.480808037754482, 3.2277674141734565 9.38072931493069, 3.547925760195823 9.268950376863067, 3.8680841062181903 9.145042201925587, 4.188242452240558 9.008504306417908, 4.508400798262924 8.858752732749684, 4.828559144285292 8.695104789405933, 5.148717490307659 8.516759465606622, 5.468875836330026 8.32277198226348, 5.789034182352393 8.112020236661149, 6.109192528374759 7.883159794698443, 6.429350874397128 7.63456230277807, 6.749509220419494 7.364229215522151, 7.069667566441861 7.069667566441861, 7.299221226623057 6.822596680465791, 7.513969508835961 6.575525794489722, 7.715148818629217 6.328454908513651, 7.903795357726718 6.081384022537581, 8.080786909045205 5.8343131365615095, 8.246873912660336 5.587242250585439, 8.402703008115077 5.34017136460937, 8.548835160605337 5.093100478633299, 8.685759817837777 4.846029592657228, 8.813906107536878 4.598958706681159, 8.933651794262735 4.351887820705088, 9.045330515748942 4.104816934729017, 9.149237681167298 3.8577460487529476, 9.245635316363686 3.6106751627768774, 9.334756071223213 3.3636042768008068, 9.416806553425273 3.116533390824736, 9.491970115280338 2.869462504848666, 9.560409192260769 2.6223916188725953, 9.62226727060212 2.375320732896525, 9.677670545109736 2.128249846920455, 9.726729315747187 1.8811789609443839, 9.769539161766755 1.6341080749683141, 9.806181924384234 1.3870371889922437, 9.836726522796761 1.1399663030161733, 9.391258604508488 1.1874636359468371, 8.945790686220219 1.2310541735733722, 8.500322767931948 1.2711399005386348, 8.054854849643679 1.3080430773116523, 7.609386931355408 1.3420262718580136, 7.163919013067137 1.3733062708310617, 6.7184510947788665 1.4020640105014217, 6.2729831764905954 1.428451834146101, 5.8275152582023235 1.4525989027601542, 5.382047339914053 1.4746152986515717, 4.9365794216257814 1.494595183528684, 4.491111503337511 1.512619259142773, 4.04564358504924 1.528756704163464, 3.600175666760971 1.5430667110700234, 3.154707748472699 1.555599712648725, 2.7092398301844285 1.5663983637841778, 2.263771911896158 1.5754983272067657, 1.818303993607886 1.5829288995054394, 1.3728360753196165 1.5887135045817105, 0.9273681570313465 1.592870074828363, 0.4819002387430748 1.5954113349916208, 0.0364323204548032 1.5963449994435384, -0.4090355978334667 1.5956738901071397, -0.8545035161217379 1.5933959792793282, -0.8518501469667105 1.938741061208181, -0.8486670382948889 2.2840861431370336, -0.8449482031861184 2.629431225065887, -0.8406865322014511 2.9747763069947397, -0.8358737224967488 3.3201213889235923, -0.8305001924590155 3.6654664708524454, -0.8245549797112205 4.010811552781297, -0.8180256197924975 4.356156634710151, -0.8108980021466621 4.701501716639004, -0.8031561991992688 5.046846798567856, -0.7947822632125119 5.39219188049671, -0.7857559841963718 5.737536962425561, -0.7760546003096913 6.082882044354415, -0.765652449745627 6.428227126283267, -0.7545205498323717 6.773572208212119, -0.7426260846586447 7.118917290140972, -0.7299317764625212 7.464262372069826, -0.7163951075644325 7.809607453998679, -0.701967347654431 8.154952535927531, -0.6865923240045425 8.500297617856384, -0.6702048468708202 8.845642699785238, -0.6527286644039312 9.19098778171409, -0.6340737631207902 9.536332863642942, -0.614132738094949 9.881677945571795))","POLYGON ((-0.610858383544725 9.876899714219379, -0.3645836906710989 9.888556187917102, -0.1183089977974727 9.894321644427087, 0.1279656950761534 9.894206382024842, 0.3742403879497794 9.888210195063712, 0.6205150808234057 9.87632237213634, 0.8667897736970319 9.858521600113155, 1.1130644665706577 9.834775772043434, 1.3593391594442839 9.805041694851962, 1.60561385231791 9.7692646905556, 1.8518885451915361 9.72737808226993, 2.0981632380651623 9.679302553472146, 2.344437930938789 9.624945365705587, 2.5907126238124145 9.564199415995073, 2.8369873166860406 9.496942110488071, 3.0832620095596672 9.423034024980529, 3.329536702433293 9.342317315680189, 3.5758113953069186 9.254613834337611, 3.822086088180545 9.159722890104607, 4.068360781054171 9.057418585294464, 4.314635473927798 8.94744663241457, 4.560910166801423 8.829520533727418, 4.80718485967505 8.703316969756958, 5.053459552548675 8.568470196105183, 5.299734245422302 8.42456518355483, 5.403429273741142 8.249188944215627, 5.503050555668181 8.073812704876422, 5.598815551333457 7.89843646553722, 5.690918941187192 7.723060226198016, 5.779535783276133 7.547683986858814, 5.864824123779988 7.372307747519611, 5.946927172353 7.196931508180407, 6.025975127841594 7.0215552688412055, 6.102086720717503 6.846179029502002, 6.175370524158417 6.670802790162799, 6.245926074796966 6.495426550823595, 6.3138448358119295 6.320050311484393, 6.379211028590105 6.144674072145191, 6.442102354166581 5.969297832805989, 6.5025906217082365 5.793921593466784, 6.560742298184978 5.618545354127582, 6.616618990886165 5.443169114788379, 6.6702778724438225 5.267792875449176, 6.721772056412526 5.092416636109974, 6.771150930146157 4.91704039677077, 6.818460450641799 4.741664157431567, 6.863743408141792 4.566287918092364, 6.907039661559048 4.390911678753161, 6.948386349188269 4.215535439413959, 6.6255000241632525 4.287543509515846, 6.302613699138236 4.3550189626501306, 5.979727374113219 4.41816947367429, 5.656841049088204 4.477178056006576, 5.333954724063185 4.532206494223389, 5.011068399038169 4.58339814781444, 4.688182074013152 4.630880258710149, 4.365295748988135 4.67476586297627, 4.042409423963119 4.71515538352656, 3.719523098938102 4.752137963271384, 3.3966367739130847 4.785792585052661, 3.0737504488880685 4.816189014806141, 2.750864123863051 4.843388596793364, 2.427977798838035 4.8674449238559445, 2.105091473813018 4.888404401029885, 1.7822051487880017 4.906306717201857, 1.4593188237629848 4.921185236558987, 1.136432498737968 4.933067319204811, 0.8135461737129511 4.941974578354417, 0.4906598486879342 4.947923079880126, 0.1677735236629174 4.950923488576036, -0.1551128013620995 4.950981164281655, -0.4779991263871156 4.948096209899714, -0.8008854514121327 4.942263472316145, -0.7961197462653264 5.147873315728779, -0.7911293301140161 5.3534831591414145, -0.7859099223211702 5.55909300255405, -0.7804569286656473 5.764702845966685, -0.7747654170551853 5.970312689379319, -0.7688300903907876 6.1759225327919545, -0.7626452561834042 6.381532376204588, -0.7562047924543496 6.587142219617224, -0.7495021093672339 6.792752063029858, -0.7425301059378485 6.998361906442493, -0.7352811210451031 7.203971749855128, -0.727746877815183 7.409581593267762, -0.7199184202652977 7.615191436680396, -0.7117860408633685 7.820801280093032, -0.7033391973733212 8.026411123505667, -0.6945664169960124 8.2320209669183, -0.6854551853613344 8.437630810330937, -0.6759918173483582 8.643240653743572, -0.666161305967453 8.848850497156207, -0.6559471445762387 9.05446034056884, -0.6453311164435754 9.260070183981476, -0.6342930440151727 9.46568002739411, -0.6228104880177341 9.671289870806746, -0.610858383544725 9.876899714219379))",POINT (2.616609 7.001815),POINT (3.700834 5.059826)
2,🇲🇽 Mexico,North America,398,0.102,"POLYGON ((-7.069667566441861 7.069667566441861, -6.806637847219025 7.313525096610389, -6.543608127996189 7.540698214025011, -6.2805784087733505 7.752653748797892, -6.017548689550514 7.950608852157174, -5.754518970327678 8.135585563974482, -5.49148925110484 8.308450769848733, -5.228459531882004 8.46994606232826, -4.965429812659166 8.62071045680111, -4.702400093436329 8.761297942585333, -4.4393703742134925 8.892191230231163, -4.176340654990655 9.013812649969491, -3.913310935767818 9.126532883850253, -3.6502812165449816 9.23067802757468, -3.3872514973221444 9.326535347866324, -3.124221778099307 9.414358008847444, -2.86119205887647 9.494368974292078, -2.5981623396536335 9.566764243920199, -2.3351326204307963 9.631715545789337, -2.0721029012079595 9.689372579726202, -1.8090731819851227 9.739864886126501, -1.5460434627622854 9.783303398584243, -1.2830137435394477 9.819781726443821, -1.0199840243166116 9.849377203597697, -0.7569543050937745 9.87215173201871, -0.7806221744633193 9.54034436174616, -0.8028188521981455 9.208536991473608, -0.823663287115991 8.876729621201056, -0.8432557634299075 8.544922250928503, -0.8616816845505404 8.21311488065595, -0.879014413612782 7.881307510383399, -0.8953174432039473 7.549500140110848, -0.910646078226085 7.217692769838297, -0.9250487589251223 6.885885399565746, -0.9385681136211342 6.554078029293193, -0.9512418054000906 6.222270659020641, -0.9631032196459415 5.89046328874809, -0.9741820271186479 5.558655918475538, -0.9845046486160856 5.226848548202987, -0.9940946409922098 4.895041177930434, -1.0029730197115196 4.563233807657883, -1.0111585297104122 4.231426437385331, -1.0186678737744044 3.89961906711278, -1.025515905693848 3.5678116968402285, -1.0317157939661223 3.2360043265676763, -1.0372791606526583 2.904196956295124, -1.042216199090422 2.572389586022573, -1.0465357734381338 2.240582215750022, -1.0502455024622026 1.9087748454774698, -1.4151893012737546 1.9043714035381967, -1.7801331000853062 1.8986491350941248, -2.1450768988968583 1.8915960714344957, -2.5100206977084105 1.8831972600957905, -2.8749644965199614 1.8734346017652421, -3.2399082953315137 1.8622866474964086, -3.6048520941430655 1.8497283507284683, -3.9697958929546178 1.8357307670862386, -4.3347396917661705 1.8202606930488072, -4.699683490577721 1.803280232183324, -5.064627289389274 1.7847462745726308, -5.429571088200826 1.7646098710796532, -5.794514887012378 1.7428154788490207, -6.15945868582393 1.7193000474649138, -6.524402484635482 1.693991905766699, -6.889346283447033 1.6668093964477328, -7.254290082258585 1.6376591877014404, -7.619233881070135 1.6064341660125858, -7.984177679881689 1.573010778124322, -8.349121478693238 1.5372456375450037, -8.71406527750479 1.4989711324438928, -9.079009076316344 1.4579896520010807, -9.443952875127895 1.4140658607283687, -9.808896673939447 1.366916147869289, -9.774249204752389 1.604530790309813, -9.733906010372817 1.8421454327503368, -9.687795934397478 2.0797600751908605, -9.635836188928886 2.3173747176313846, -9.577931572046325 2.5549893600719087, -9.513973538081707 2.792604002512432, -9.443839098238765 3.0302186449529556, -9.367389523720803 3.26783328739348, -9.284468816814043 3.5054479298340038, -9.194901906886088 3.7430625722745283, -9.098492517428888 3.9806772147150515, -8.995020636315875 4.218291857155576, -8.884239503265004 4.455906499596099, -8.765872004574751 4.693521142036622, -8.639606333357282 4.931135784477147, -8.505090730602124 5.168750426917671, -8.361927063885929 5.406365069358196, -8.209662919591082 5.643979711798719, -8.047781770802224 5.881594354239242, -7.875690620713294 6.119208996679766, -7.6927042853286025 6.356823639120291, -7.498025129020423 6.594438281560814, -7.290716535081953 6.832052924001337, -7.069667566441861 7.069667566441861))","POLYGON ((-7.069524801374339 7.069524801374339, -6.806665175316838 7.312755907904571, -6.543805549259336 7.539368809040946, -6.280945923201835 7.750821255046832, -6.0180862971443325 7.948323297113168, -5.755226671086832 8.132891328548421, -5.49236704502933 8.305387679532137, -5.22950741897183 8.46655022258005, -4.966647792914328 8.617014903922142, -4.703788166856826 8.75733315891101, -4.440928540799326 8.887985557858892, -4.178068914741824 9.009392627477956, -3.915209288684322 9.121923523807903, -3.6523496626268215 9.225903048002715, -3.3894900365693204 9.32161736754366, -3.126630410511819 9.409318713989729, -2.863770784454317 9.489229262420789, -2.6009111583968165 9.561544349472454, -2.338051532339314 9.626435151076135, -2.075191906281813 9.684050914138142, -1.8123322802243116 9.734520815950072, -1.5494726541668098 9.777955509384912, -1.2866130281093089 9.814448399663435, -1.0237534020518078 9.844076688781001, -0.7608937759943063 9.866902215910871, -0.7741526998537709 9.684380144353483, -0.7869469186242373 9.501858072796097, -0.7992987479477065 9.31933600123871, -0.8112283956486305 9.136813929681324, -0.8227542263883065 8.954291858123936, -0.8338929846630685 8.77176978656655, -0.8446599838976812 8.589247715009162, -0.8550692677339489 8.406725643451773, -0.8651337483565197 8.224203571894385, -0.8748653257302079 8.041681500337, -0.8842749908721458 7.859159428779613, -0.8933729156942999 7.6766373572222255, -0.902168531488228 7.494115285664838, -0.9106705977555262 7.311593214107452, -0.9188872627926014 7.129071142550064, -0.9268261172009779 6.946549070992678, -0.9344942413019421 6.764026999435292, -0.9418982472775044 6.581504927877903, -0.9490443167311352 6.398982856320517, -0.9559382342558487 6.216460784763129, -0.9625854175095333 6.0339387132057425, -0.9689909442245088 5.851416641648354, -0.9751595765173505 5.668894570090968, -0.9810957828138809 5.48637249853358, -1.320026759427597 5.473680638254686, -1.6589577360413128 5.457206183857935, -1.9978887126550284 5.436914750413583, -2.3368196892687445 5.4127634106791245, -2.67575066588246 5.38470022780313, -3.014681642496177 5.352663674584259, -3.3536126191098923 5.31658192354064, -3.692543595723609 5.276371987722127, -4.031474572337324 5.231938686807486, -4.370405548951041 5.183173406206024, -4.709336525564757 5.12995260813239, -5.048267502178473 5.07213604225692, -5.387198478792188 5.009564588587866, -5.7261294554059035 4.942057645343664, -6.06506043201962 4.869409947741148, -6.4039914086333365 4.791387666951565, -6.742922385247052 4.707723587623333, -7.0818533618607695 4.618111090750101, -7.420784338474483 4.522196566066927, -7.759715315088198 4.419569728421574, -8.098646291701918 4.309751089472292, -8.437577268315632 4.19217549592444, -8.77650824492935 4.066170113343202, -9.115439221543063 3.9309243771988345, -9.060285455060278 4.061699394872814, -9.00297220009533 4.192474412546793, -8.94345794014727 4.323249430220773, -8.881698430010925 4.454024447894752, -8.817646492070041 4.584799465568731, -8.751251790432788 4.715574483242711, -8.682460579983784 4.84634950091669, -8.611215426951818 4.977124518590669, -8.537454897026105 5.107899536264648, -8.46111320637647 5.238674553938628, -8.382119830118336 5.369449571612607, -8.300399061779444 5.500224589286588, -8.215869516131356 5.630999606960566, -8.128443566291473 5.761774624634545, -8.038026704213872 5.892549642308524, -7.94451681148116 6.023324659982504, -7.847803324570483 6.1540996776564825, -7.74776627534373 6.284874695330464, -7.644275183204041 6.415649713004443, -7.537187769899728 6.546424730678421, -7.426348460978934 6.677199748352401, -7.311586628907829 6.80797476602638, -7.192714521176594 6.938749783700359, -7.069524801374339 7.069524801374339))",POINT (-4.177951 6.919529),POINT (-4.603095 5.096786)
3,🇨🇦 Canada,North America,324,0.083,"POLYGON ((-7.069667566441861 7.069667566441861, -6.806637847219025 7.313525096610389, -6.543608127996189 7.540698214025011, -6.2805784087733505 7.752653748797892, -6.017548689550514 7.950608852157174, -5.754518970327678 8.135585563974482, -5.49148925110484 8.308450769848733, -5.228459531882004 8.46994606232826, -4.965429812659166 8.62071045680111, -4.702400093436329 8.761297942585333, -4.4393703742134925 8.892191230231163, -4.176340654990655 9.013812649969491, -3.913310935767818 9.126532883850253, -3.6502812165449816 9.23067802757468, -3.3872514973221444 9.326535347866324, -3.124221778099307 9.414358008847444, -2.86119205887647 9.494368974292078, -2.5981623396536335 9.566764243920199, -2.3351326204307963 9.631715545789337, -2.0721029012079595 9.689372579726202, -1.8090731819851227 9.739864886126501, -1.5460434627622854 9.783303398584243, -1.2830137435394477 9.819781726443821, -1.0199840243166116 9.849377203597697, -0.7569543050937745 9.87215173201871, -0.7806221744633193 9.54034436174616, -0.8028188521981455 9.208536991473608, -0.823663287115991 8.876729621201056, -0.8432557634299075 8.544922250928503, -0.8616816845505404 8.21311488065595, -0.879014413612782 7.881307510383399, -0.8953174432039473 7.549500140110848, -0.910646078226085 7.217692769838297, -0.9250487589251223 6.885885399565746, -0.9385681136211342 6.554078029293193, -0.9512418054000906 6.222270659020641, -0.9631032196459415 5.89046328874809, -0.9741820271186479 5.558655918475538, -0.9845046486160856 5.226848548202987, -0.9940946409922098 4.895041177930434, -1.0029730197115196 4.563233807657883, -1.0111585297104122 4.231426437385331, -1.0186678737744044 3.89961906711278, -1.025515905693848 3.5678116968402285, -1.0317157939661223 3.2360043265676763, -1.0372791606526583 2.904196956295124, -1.042216199090422 2.572389586022573, -1.0465357734381338 2.240582215750022, -1.0502455024622026 1.9087748454774698, -1.4151893012737546 1.9043714035381967, -1.7801331000853062 1.8986491350941248, -2.1450768988968583 1.8915960714344957, -2.5100206977084105 1.8831972600957905, -2.8749644965199614 1.8734346017652421, -3.2399082953315137 1.8622866474964086, -3.6048520941430655 1.8497283507284683, -3.9697958929546178 1.8357307670862386, -4.3347396917661705 1.8202606930488072, -4.699683490577721 1.803280232183324, -5.064627289389274 1.7847462745726308, -5.429571088200826 1.7646098710796532, -5.794514887012378 1.7428154788490207, -6.15945868582393 1.7193000474649138, -6.524402484635482 1.693991905766699, -6.889346283447033 1.6668093964477328, -7.254290082258585 1.6376591877014404, -7.619233881070135 1.6064341660125858, -7.984177679881689 1.573010778124322, -8.349121478693238 1.5372456375450037, -8.71406527750479 1.4989711324438928, -9.079009076316344 1.4579896520010807, -9.443952875127895 1.4140658607283687, -9.808896673939447 1.366916147869289, -9.774249204752389 1.604530790309813, -9.733906010372817 1.8421454327503368, -9.687795934397478 2.0797600751908605, -9.635836188928886 2.3173747176313846, -9.577931572046325 2.5549893600719087, -9.513973538081707 2.792604002512432, -9.443839098238765 3.0302186449529556, -9.367389523720803 3.26783328739348, -9.284468816814043 3.5054479298340038, -9.194901906886088 3.7430625722745283, -9.098492517428888 3.9806772147150515, -8.995020636315875 4.218291857155576, -8.884239503265004 4.455906499596099, -8.765872004574751 4.693521142036622, -8.639606333357282 4.931135784477147, -8.505090730602124 5.168750426917671, -8.361927063885929 5.406365069358196, -8.209662919591082 5.643979711798719, -8.047781770802224 5.881594354239242, -7.875690620713294 6.119208996679766, -7.6927042853286025 6.356823639120291, -7.498025129020423 6.594438281560814, -7.290716535081953 6.832052924001337, -7.069667566441861 7.069667566441861))","POLYGON ((-9.118390968382379 3.9237798347012354, -8.779350239686 4.058779758711666, -8.440309510989618 4.184556123707118, -8.10126878229324 4.3019180209982695, -7.762228053596857 4.4115370621283825, -7.423187324900478 4.513977373213416, -7.084146596204097 4.609717571114394, -6.745105867507717 4.69916719528116, -6.4060651388113365 4.782679213284135, -6.067024410114955 4.860559686842804, -5.727983681418576 4.933075345638906, -5.3889429527221955 5.000459593512092, -5.049902224025814 5.062917322172224, -4.710861495329435 5.120628805153105, -4.3718207666330535 5.173752873242362, -4.032780037936673 5.222429521861564, -3.693739309240293 5.26678206426339, -3.354698580543913 5.306918917629097, -3.015657851847531 5.342935089287568, -2.6766171231511517 5.374913415358321, -2.3375763944547714 5.402925592775184, -1.9985356657583897 5.4270330369124355, -1.6594949370620098 5.447287590225127, -1.3204542083656299 5.463732101934545, -0.9814134796692493 5.476400894475056, -0.9860628644685518 5.327955426311165, -0.9905635584388589 5.179509958147275, -0.9949175794737428 5.031064489983383, -0.9991268451004786 4.882619021819494, -1.0031931774442484 4.734173553655603, -1.0071183078251766 4.585728085491713, -1.0109038810185242 4.437282617327823, -1.0145514592053424 4.288837149163932, -1.0180625256381712 4.140391681000041, -1.0214384880439755 3.9919462128361523, -1.02468068178436 3.8435007446722613, -1.0277903727911963 3.6950552765083704, -1.0307687602940727 3.5466098083444813, -1.0336169793544419 3.3981643401805908, -1.036336103219959 3.2497188720167, -1.0389271455112556 3.10127340385281, -1.0413910622522695 2.9528279356889193, -1.043728753754232 2.804382467525029, -1.0459410663624988 2.6559369993611393, -1.0480287940745656 2.5074915311972483, -1.0499926800368482 2.359046063033358, -1.0518334179271192 2.210600594869468, -1.0535516532288465 2.0621551267055773, -1.0551479844031042 1.913709658541687, -1.4196611574187312 1.9092825920953105, -1.784174330434358 1.9035361134326434, -2.148687503449985 1.896458228695781, -2.513200676465612 1.8880339643701436, -2.8777138494812387 1.878245204286214, -3.2422270224968663 1.8670704870504227, -3.6067401955124923 1.8544847584131987, -3.97125336852812 1.8404590715744362, -4.335766541543746 1.82496022654633, -4.7002797145593735 1.8079503373137893, -5.064792887575001 1.7893863124802525, -5.429306060590627 1.7692192311220016, -5.793819233606254 1.7473935903607394, -6.158332406621882 1.7238463942234763, -6.522845579637508 1.6985060439993693, -6.887358752653134 1.6712909775108318, -7.251871925668762 1.6421079869781563, -7.61638509868439 1.6108501201748762, -7.980898271700015 1.577394033784518, -8.34541144471564 1.541596615639834, -8.709924617731271 1.5032906147072842, -9.074437790746897 1.4622788990351459, -9.438950963762524 1.418326776254856, -9.80346413677815 1.371151512160915, -9.788632496431408 1.4775110256000952, -9.772668235106908 1.5838705390392749, -9.755565792455048 1.690230052478455, -9.73731917123741 1.7965895659176347, -9.717921926438441 1.902949079356815, -9.69736715342548 2.009308592795995, -9.67564747510443 2.1156681062351748, -9.65275502801304 2.222027619674355, -9.6286814472878 2.328387133113535, -9.603417850434006 2.434746646552715, -9.576954819821468 2.5411061599918954, -9.549282383820564 2.6474656734310753, -9.520389996484745 2.7538251868702552, -9.490266515676197 2.8601847003094356, -9.458900179520862 2.966544213748615, -9.42627858106749 3.072903727187795, -9.392388641012499 3.179263240626975, -9.357216578338155 3.2856227540661553, -9.320747878695636 3.3919822675053353, -9.282967260346712 3.498341780944516, -9.243858637457931 3.6047012943836956, -9.203405080518799 3.711060807822876, -9.16158877363036 3.817420321262055, -9.118390968382379 3.9237798347012354))",POINT (-5.015241 3.340384),POINT (-4.603095 5.096786)
