Date,Ticker,Price_Open,Price_Low,Price_High,Price_Close
2025-01-02,ASML,697.743519951944,688.8404498857753,704.29221777039,692.87646484375
2025-01-03,ASML,695.5868727647181,695.0131628923871,709.8417094936302,706.666259765625
2025-01-06,ASML,742.970959483245,741.5761719783276,772.6775604905348,760.2330322265625
2025-01-07,ASML,766.6532061100252,745.3748603677358,770.006710108715,749.4208374023438
2025-01-08,ASML,744.8901587022395,729.062479367265,745.2166214943088,735.96728515625
2025-01-10,ASML,742.9116998432434,727.4797366207907,743.2084567556357,731.0508422851562
2025-01-13,ASML,713.4326651679513,709.8615594732897,721.1486468446373,719.5757446289062
2025-01-14,ASML,729.5966448751168,720.2187641506291,731.5553612579592,728.360107421875
2025-01-15,ASML,731.4960225121644,717.3796913811944,736.4520139930172,718.4777221679688
2025-01-16,ASML,750.627660860358,740.399057167767,763.2502444621117,742.199462890625
2025-01-17,ASML,759.639503875528,743.4062678269369,760.9156490848482,748.1842651367188
2025-01-21,ASML,754.7824096679688,747.3532834982067,759.4614477490769,754.7824096679688
2025-01-22,ASML,769.3735296168687,757.6412778764175,776.3673920269636,758.4524536132812
2025-01-23,ASML,732.0400586797998,728.0732369538823,739.6966887666651,738.2029418945312
2025-01-24,ASML,741.2893578020246,721.4454069661073,741.9224794751835,724.3636474609375
2025-01-27,ASML,665.5440235296726,664.7032021889245,683.1622072442319,682.7171020507812
2025-01-28,ASML,671.4892503632057,659.4206333940788,685.9814926856994,675.990234375
2025-01-29,ASML,719.328406965015,697.01138223278,720.6144541720248,704.9747314453125
2025-01-30,ASML,732.1290418392966,722.7116140295241,737.5599648337587,729.0525512695312
2025-01-31,ASML,740.0330631963268,729.8242028209891,746.4728994824889,731.3475952148438
2025-02-03,ASML,711.3848960183141,710.1879061147455,727.529135077355,723.1864013671875
2025-02-04,ASML,728.9635769713058,721.4256495549705,734.691196666737,723.5326538085938
2025-02-05,ASML,721.3860292764931,714.6197303219935,735.2056028866929,734.59228515625
2025-02-06,ASML,729.7450011698505,727.0938723056247,734.4141372769881,731.1694946289062
2025-02-07,ASML,731.0903450702624,715.9551396851217,734.3251461621714,719.8626098632812
2025-02-10,ASML,728.7854449733491,727.9545256438043,737.5302641198838,736.0662231445312
2025-02-11,ASML,738.2074324960228,737.4243102208173,746.9508961924682,746.4453125
2025-02-12,ASML,731.9422475701772,727.1938390930678,750.222219505507,749.6076049804688
2025-02-13,ASML,748.2198116777251,746.2173227153312,770.2469482421875,770.2469482421875
2025-02-14,ASML,771.4662391539214,742.1826219102591,771.6050386943122,745.0277099609375
2025-02-18,ASML,750.8666559168112,732.1901298332247,752.3437154608381,737.7613525390625
2025-02-19,ASML,737.5036274633843,735.2533081058058,746.3362761550027,738.3363037109375
2025-02-20,ASML,744.8295013985465,733.9943629683587,748.9534333670558,736.6412353515625
2025-02-21,ASML,737.692030535121,726.8370463593836,739.2384898899198,730.812255859375
2025-02-24,ASML,739.6547208311648,728.3239232672267,744.3634979892418,729.572998046875
2025-02-25,ASML,725.8357314881208,719.9076479533184,732.5667830619365,723.8530883789062
2025-02-26,ASML,737.3648801530406,732.497456947423,747.2285427142991,740.4478759765625
2025-02-27,ASML,736.9682742989489,690.86189779233,738.3363029239387,691.6450805664062
2025-02-28,ASML,700.6859949308807,691.456792539111,707.3080164719514,702.9263916015625
2025-03-03,ASML,715.7838074687028,686.470418108913,725.9944086791085,693.786376953125
2025-03-04,ASML,692.2101292908774,686.6785380107607,715.0402334942783,702.07373046875
2025-03-05,ASML,725.2706898704156,713.0576007382447,734.1231843234468,733.3301391601562
2025-03-06,ASML,712.6115012932921,704.8296510082574,724.8245905517285,708.6363525390625
2025-03-07,ASML,719.8580719934454,709.2906102782334,727.6300600198788,725.865478515625
2025-03-10,ASML,691.9226494036633,670.1334194180632,692.933816824299,677.1817016601562
2025-03-11,ASML,692.7553570965878,675.3477524890756,695.90775247535,684.2200927734375
2025-03-12,ASML,698.029206134582,690.6934020904054,702.1530773692939,697.265869140625
2025-03-13,ASML,691.7838678415512,682.2869903032084,699.1790879961549,688.5620727539062
2025-03-14,ASML,701.5383688964481,699.2384958310726,713.78122532399,707.8035278320312
2025-03-17,ASML,711.8184246850712,710.9857484686954,728.1752302097168,723.9918823242188
2025-03-18,ASML,723.5656762793335,713.7416451198153,727.8184242567984,724.76513671875
